;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20
o1;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;1;0;1
o2;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1
o3;0;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0
o4;1;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1
o5;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0
o6;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;1
o7;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0
o8;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;0
o9;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;1;0
o10;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1;0
o11;1;0;1;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0
o12;1;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
o13;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1;1;1;1
o14;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;1
o15;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;0;0
o16;1;1;0;1;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1
o17;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
o18;0;1;0;1;0;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1
o19;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0
o20;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0
