;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30
o1;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;1;0;0;1;0
o2;1;0;1;0;1;0;0;1;1;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1
o3;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0
o4;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
o5;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0
o6;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0
o7;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0
o8;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0
o9;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;1
o10;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0
o11;1;0;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0
o12;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0
o13;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1
o14;1;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0
o15;1;0;1;1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0
o16;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1
o17;1;0;0;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0
o18;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0
o19;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1
o20;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0
o21;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;1;1;1;0;1;0;0;0;1
o22;1;1;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0
o23;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1
o24;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0
o25;1;0;0;0;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0
o26;1;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0
o27;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
o28;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0
o29;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1
o30;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0
