;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31
o1;0;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1
o2;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0
o3;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1;1
o4;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;0;1;1
o5;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0
o6;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;1
o7;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1
o8;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1
o9;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0
o10;1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1
o11;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;1;1;0
o12;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1
o13;0;1;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1
o14;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;1
o15;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0
o16;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0
o17;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0
o18;0;1;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
o19;1;0;1;1;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0
o20;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1
o21;1;1;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1
o22;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;0
o23;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1
o24;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1
o25;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1
o26;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1
o27;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0
o28;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1
o29;1;1;0;1;1;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0
o30;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0
