;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10
o1;1;1;0;0;1;1;0;1;0;0
o2;1;0;1;1;0;0;0;1;1;1
o3;0;1;0;0;0;1;1;0;1;1
o4;0;1;1;1;0;1;1;1;0;0
o5;0;0;1;1;1;1;1;1;0;1
o6;0;1;0;1;0;0;1;1;1;0
o7;0;0;0;0;0;1;0;1;0;0
o8;1;0;1;1;1;0;1;1;0;0
o9;0;1;1;1;1;0;0;0;1;0
o10;1;0;0;0;0;0;0;0;0;0
o11;1;0;1;1;0;0;0;0;1;0
o12;1;1;1;0;0;1;0;1;1;0
o13;1;0;1;0;0;1;1;0;0;1
o14;1;1;0;1;0;1;0;1;1;1
o15;0;1;0;0;0;1;0;1;0;1
o16;1;1;1;0;0;1;0;0;1;0
o17;0;0;1;1;1;0;1;1;0;1
o18;0;0;1;1;1;0;1;0;0;0
o19;1;0;0;1;1;0;0;1;0;1
o20;1;1;0;1;1;0;0;1;0;0
o21;0;1;1;0;1;0;1;0;0;0
o22;1;0;0;0;1;1;1;0;0;0
o23;0;1;1;0;1;1;0;0;0;0
o24;1;1;0;0;1;0;0;1;1;1
o25;0;1;1;1;1;0;1;1;1;1
o26;0;1;1;0;0;1;1;1;0;0
o27;1;0;0;1;0;0;1;1;1;1
o28;0;1;1;1;1;0;1;0;1;1
o29;1;0;1;1;1;0;1;1;1;0
o30;0;0;1;0;1;1;0;0;1;0
o31;1;1;0;1;1;0;1;1;0;0
