;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29
o1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1
o2;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1
o3;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0
o4;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;1;1;1;0
o5;1;0;1;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0
o6;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0
o7;0;1;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1
o8;1;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1
o9;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0
o10;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1;1;1;1
o11;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0;1;1;0;0
o12;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1
o13;1;0;0;0;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1
o14;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0
o15;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0
o16;0;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0
o17;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1
o18;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0
o19;0;1;1;0;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0
o20;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1
o21;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0
o22;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0
o23;1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1
o24;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1
o25;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;0;0
o26;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0
o27;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1
o28;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0
o29;1;0;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1
o30;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1
o31;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0;1
