;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32
o1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0
o2;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1
o3;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1
o4;1;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0
o5;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1;1
o6;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1
o7;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0
o8;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1
o9;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1
o10;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1
o11;0;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1
o12;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0
o13;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;0;0;0
o14;0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;0
o15;1;0;1;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0
o16;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1
o17;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1
o18;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1
o19;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0
o20;0;1;0;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
o21;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1
o22;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1
o23;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0
o24;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1
o25;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0
o26;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;1
o27;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0
o28;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0;1
o29;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1
o30;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
o31;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1
o32;0;1;0;1;0;0;1;1;0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1
