;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35
o1;0;0;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0
o2;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1
o3;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0
o4;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1
o5;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0
o6;0;0;0;1;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1
o7;1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1
o8;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;0;0
o9;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;0;1;0
o10;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0
o11;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1
o12;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0
o13;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0
o14;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1
o15;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1
o16;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0
o17;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;0
o18;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;0;0;1
o19;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0
o20;1;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;0;1;1;0
o21;1;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1
o22;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;1
o23;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0
o24;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1
o25;1;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1
o26;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1
o27;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0
o28;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0;1
o29;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1
o30;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0
o31;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;0;1
o32;1;0;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0
o33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0
o34;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1
o35;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0
