;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;a57;a58;a59;a60;a61;a62;a63;a64;a65;a66;a67;a68;a69;a70;a71;a72;a73;a74;a75;a76;a77;a78;a79;a80
o1;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1
o2;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1
o3;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0
o4;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;1;0;1;0
o5;0;0;1;0;1;1;1;1;0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0
o6;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0
o7;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0
o8;1;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0
o9;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1
o10;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;1
o11;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;1;0;0
o12;1;1;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
o13;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0
o14;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;1;0
o15;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;0
o16;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
o17;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0
o18;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0
